Name,Team,POS,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,SB,CS,AVG,OBP,SLG,OPS
Gabriel Moreno,ARI,C,110,425,390,105,20,1,14,48,58,28,85,3,1,0.269,0.325,0.415,0.74
Francisco Alvarez,NYM,C,108,410,365,85,16,1,18,48,58,40,125,2,1,0.233,0.328,0.435,0.763
Keibert Ruiz,WSH,C,120,465,425,112,22,1,14,52,62,32,65,2,1,0.263,0.32,0.405,0.725
Logan O'Hoppe,LAA,C,115,450,405,95,20,1,18,52,62,38,130,3,1,0.235,0.318,0.435,0.753
Patrick Bailey,SFG,C,118,440,395,92,18,1,14,48,55,40,115,4,2,0.233,0.318,0.395,0.713
Ryan Jeffers,MIN,C,112,425,380,88,18,1,18,50,58,38,135,2,1,0.232,0.328,0.445,0.773
Tyler Stephenson,CIN,C,120,475,425,110,22,1,16,58,68,42,115,2,1,0.259,0.34,0.415,0.755
Sean Murphy,ATL,C,115,450,395,88,18,0,18,52,62,48,140,2,1,0.223,0.325,0.405,0.73
Ivan Herrera,STL,C,108,400,355,92,18,1,12,42,48,40,95,4,2,0.259,0.355,0.4,0.755
Jordan Walker,STL,OF,128,520,480,128,24,2,22,68,75,32,155,8,3,0.267,0.325,0.452,0.777
Lars Nootbaar,STL,OF,135,545,470,125,24,3,18,75,68,68,105,8,3,0.266,0.37,0.445,0.815
Brendan Donovan,SEA,2B,138,575,510,143,28,3,14,78,68,55,95,8,3,0.28,0.365,0.415,0.78
Tommy Edman,LAD,2B,132,565,515,148,28,5,12,78,62,42,115,25,5,0.287,0.345,0.42,0.765
Nolan Gorman,STL,2B,125,510,455,105,20,2,26,68,72,48,175,4,2,0.231,0.325,0.47,0.795
Jonathan India,KCR,2B,135,585,515,135,28,2,18,82,68,62,140,12,4,0.262,0.36,0.42,0.78
Gleyber Torres,DET,2B,138,595,535,145,30,2,20,78,75,52,130,10,3,0.271,0.345,0.435,0.78
Colt Keith,DET,2B,130,545,495,142,28,2,16,72,72,42,115,6,2,0.287,0.345,0.44,0.785
Zack Gelof,ATH,2B,125,520,465,118,24,3,20,72,68,48,155,18,5,0.254,0.335,0.445,0.78
Luis Garcia,WSH,2B,135,575,535,155,32,3,14,78,72,32,95,8,3,0.29,0.335,0.425,0.76
Michael Busch,CHC,1B,135,565,495,125,24,2,28,78,85,62,175,4,2,0.253,0.355,0.485,0.84
Tyler Soderstrom,ATH,1B,128,525,470,118,24,1,24,72,78,48,165,2,1,0.251,0.33,0.47,0.8
Spencer Horwitz,PIT,1B,132,555,480,135,28,1,18,78,72,68,110,4,2,0.281,0.395,0.445,0.84
Mark Vientos,NYM,3B,128,515,465,118,22,1,26,72,82,42,145,2,1,0.254,0.335,0.485,0.82
Eugenio Suarez,ARI,3B,142,605,530,125,24,2,28,78,92,68,195,2,1,0.236,0.335,0.445,0.78
Matt Chapman,SFG,3B,148,605,535,128,28,2,26,78,88,62,185,2,1,0.239,0.335,0.445,0.78
Colton Cowser,BAL,OF,132,535,475,125,24,3,18,75,68,52,155,12,4,0.263,0.35,0.435,0.785
Sal Frelick,MIL,OF,138,565,515,155,28,4,10,82,58,42,75,18,5,0.301,0.365,0.42,0.785
Lawrence Butler,ATH,OF,135,555,495,138,26,3,22,78,78,52,155,8,3,0.279,0.355,0.475,0.83
Wilyer Abreu,BOS,OF,138,575,515,148,30,4,20,85,78,52,175,18,5,0.287,0.365,0.475,0.84
Jo Adell,LAA,OF,130,525,480,125,24,2,26,72,82,38,185,12,4,0.26,0.325,0.485,0.81
Dylan Crews,WSH,OF,128,540,485,135,26,4,18,78,72,48,135,18,5,0.278,0.355,0.455,0.81
Mike Trout,LAA,OF,105,460,395,105,20,1,28,72,72,58,145,4,2,0.266,0.375,0.515,0.89
Giancarlo Stanton,NYY,DH,115,485,425,102,16,0,38,65,88,52,165,2,1,0.24,0.33,0.525,0.855
Jorge Soler,LAA,DH,120,465,405,95,16,0,28,62,72,52,165,2,1,0.235,0.34,0.48,0.82
Ezequiel Tovar,COL,SS,145,595,565,155,32,6,18,78,78,22,135,12,4,0.274,0.31,0.435,0.745
Dansby Swanson,CHC,SS,145,610,545,138,28,3,22,78,78,55,175,8,3,0.253,0.335,0.415,0.75
Oneil Cruz,PIT,OF,132,545,490,128,24,4,22,75,75,42,185,18,5,0.261,0.325,0.465,0.79
Christian Yelich,MIL,OF,125,545,465,128,26,3,18,82,68,78,125,12,4,0.275,0.385,0.455,0.84
Teoscar Hernandez,LAD,OF,138,575,520,140,28,2,32,85,98,48,175,6,2,0.269,0.335,0.51,0.845
Lane Thomas,KCR,OF,135,560,505,135,26,3,24,78,82,48,165,12,4,0.267,0.33,0.465,0.795
Brandon Nimmo,TEX,OF,132,585,495,145,30,3,22,92,78,82,130,4,2,0.293,0.405,0.48,0.885
Ian Happ,CHC,OF,145,610,525,135,28,3,26,88,88,75,175,8,3,0.257,0.365,0.465,0.83
Steven Kwan,CLE,OF,140,605,540,175,32,4,8,95,58,52,65,18,5,0.324,0.395,0.425,0.82
Bryan Reynolds,PIT,OF,145,625,550,155,35,4,24,88,88,65,155,6,2,0.282,0.365,0.48,0.845
Seiya Suzuki,CHC,OF,135,565,495,142,30,3,22,82,82,62,140,10,3,0.287,0.375,0.48,0.855
Luis Robert Jr.,NYM,OF,125,520,480,130,24,2,28,72,82,32,155,18,5,0.271,0.325,0.51,0.835
Chas McCormick,HOU,OF,128,485,435,115,22,3,14,62,58,42,125,18,5,0.264,0.35,0.42,0.77
Leody Taveras,TEX,OF,135,515,475,128,24,5,12,68,58,32,115,22,6,0.269,0.325,0.405,0.73
Byron Buxton,MIN,OF,110,465,420,110,22,2,28,72,75,38,165,12,4,0.262,0.33,0.51,0.84
Jurickson Profar,FA,OF,132,545,475,125,24,2,18,72,72,62,115,8,3,0.263,0.365,0.42,0.785
Taylor Ward,BAL,OF,138,575,495,125,26,2,26,78,82,72,165,4,2,0.253,0.36,0.465,0.825
Heliot Ramos,SFG,OF,128,495,450,118,22,3,22,68,75,38,155,8,3,0.262,0.33,0.465,0.795
Jake McCarthy,COL,OF,125,465,425,120,22,5,8,58,48,32,95,28,7,0.282,0.345,0.395,0.74
Nolan Jones,COL,OF,120,485,425,115,24,4,16,68,68,52,165,12,4,0.271,0.37,0.45,0.82
Spencer Steer,CIN,1B,135,565,505,138,30,2,20,78,78,52,125,8,3,0.273,0.355,0.435,0.79
Tyler Freeman,COL,2B,130,540,495,145,26,3,8,68,55,38,65,12,4,0.293,0.355,0.395,0.75
Gavin Lux,TBR,2B,125,485,435,118,24,3,12,62,55,42,115,8,3,0.271,0.35,0.41,0.76
Edouard Julien,MIN,2B,115,455,385,95,18,2,16,62,55,65,155,4,2,0.247,0.375,0.43,0.805
Brandon Drury,LAA,2B,125,510,470,122,26,2,24,68,82,32,135,2,1,0.26,0.31,0.47,0.78
Thairo Estrada,SFG,2B,130,495,460,128,26,3,14,62,62,28,95,12,4,0.278,0.32,0.425,0.745
Luis Urias,SEA,3B,118,445,395,95,20,1,16,52,55,45,115,2,1,0.241,0.34,0.405,0.745
Jeimer Candelario,CIN,3B,135,555,495,125,26,2,22,72,82,50,145,4,2,0.253,0.34,0.435,0.775
Ke'Bryan Hayes,CIN,3B,138,575,525,145,28,5,12,72,62,42,115,22,5,0.276,0.335,0.405,0.74
Alec Bohm,PHI,1B,145,620,570,165,32,2,20,82,92,42,115,4,2,0.289,0.34,0.425,0.765
Joey Ortiz,MIL,SS,132,495,445,118,24,3,12,58,52,38,105,12,4,0.265,0.33,0.395,0.725
Orlando Arcia,ATL,SS,128,465,430,112,22,1,14,52,58,28,105,8,3,0.26,0.31,0.395,0.705
Amed Rosario,LAD,SS,125,480,450,132,26,4,10,58,55,22,95,12,4,0.293,0.325,0.405,0.73
Daulton Varsho,TOR,OF,138,575,525,135,28,4,22,75,75,42,135,12,4,0.257,0.315,0.435,0.75
MJ Melendez,NYM,OF,125,455,400,95,18,2,18,58,62,48,145,4,2,0.238,0.33,0.43,0.76
Joey Bart,PIT,C,112,405,355,78,15,0,18,45,52,45,145,2,1,0.22,0.34,0.425,0.765
Carson Kelly,CHC,C,105,385,335,72,14,0,14,38,45,42,110,1,0,0.215,0.335,0.385,0.72
Christian Bethancourt,FA,C,95,340,320,78,15,0,12,32,42,15,85,1,0,0.244,0.295,0.375,0.67
Yasmani Grandal,FA,C,98,355,305,68,12,0,14,38,45,45,105,1,0,0.223,0.36,0.39,0.75
Omar Narvaez,FA,C,85,295,265,58,11,0,8,28,32,28,75,1,0,0.219,0.305,0.34,0.645
Nolan Arenado,ARI,3B,140,600,540,152,32,1,26,78,95,52,105,3,1,0.281,0.345,0.485,0.83
Lourdes Gurriel Jr.,ARI,OF,132,510,475,128,26,3,20,65,75,28,115,4,2,0.269,0.315,0.455,0.77
Jose Altuve,HOU,2B,142,625,555,165,35,2,22,102,78,62,95,12,4,0.297,0.375,0.48,0.855
Anthony Santander,TOR,OF,145,615,545,145,28,2,36,92,102,62,145,3,1,0.266,0.35,0.515,0.865
George Springer,TOR,OF,135,600,530,145,28,2,26,95,82,62,145,12,4,0.274,0.365,0.48,0.845
Hunter Brown,HOU,SP,138,620,555,152,32,2,24,82,88,55,175,5,2,0.274,0.35,0.455,0.805
Jake Meyers,HOU,OF,125,465,420,108,22,2,16,55,62,38,140,8,3,0.257,0.325,0.435,0.76
Nick Castellanos,PHI,OF,142,580,535,152,30,1,26,75,88,38,165,5,2,0.284,0.33,0.47,0.8
Brandon Marsh,PHI,OF,138,545,485,135,26,4,18,72,72,52,185,12,4,0.278,0.36,0.445,0.805
Johan Rojas,PHI,OF,125,455,425,118,22,4,8,52,48,22,115,28,7,0.278,0.32,0.385,0.705
J.P. Crawford,SEA,SS,140,585,505,125,24,2,12,68,58,72,115,8,3,0.248,0.355,0.36,0.715
Luke Raley,SEA,OF,132,515,455,108,22,3,22,65,68,52,175,8,3,0.237,0.335,0.465,0.8
Dominic Canzone,SEA,OF,118,420,385,95,18,2,16,48,52,28,125,6,2,0.247,0.315,0.435,0.75
Xander Bogaerts,SDP,SS,135,575,525,145,28,2,18,78,75,42,128,8,3,0.276,0.345,0.42,0.765
Luis Arraez,SDP,1B,140,595,555,185,35,2,8,78,58,32,45,4,2,0.333,0.375,0.425,0.8
David Peralta,SDP,OF,125,465,425,122,26,2,18,58,72,32,105,4,2,0.287,0.345,0.445,0.79
Elias Diaz,SDP,C,112,425,385,95,18,0,14,42,58,32,105,2,1,0.247,0.32,0.395,0.715
Marcell Ozuna,ATL,DH,138,595,525,142,26,0,38,88,108,62,165,2,1,0.27,0.355,0.54,0.895
Adam Duvall,ATL,OF,115,425,390,92,18,1,22,52,68,28,135,4,2,0.236,0.295,0.465,0.76
Ramon Laureano,ATL,OF,108,395,355,88,18,2,16,48,52,32,145,12,4,0.248,0.335,0.435,0.77
Gio Urshela,ATL,3B,115,425,395,112,22,1,12,42,58,22,85,2,1,0.284,0.325,0.405,0.73
Nick Gonzales,PIT,2B,125,495,455,118,24,2,14,58,62,28,125,8,3,0.259,0.315,0.395,0.71
Henry Davis,PIT,C,105,385,340,78,15,0,16,42,48,38,145,2,1,0.229,0.335,0.415,0.75
Andrew McCutchen,PIT,OF,115,445,375,95,18,1,18,58,58,62,115,4,2,0.253,0.375,0.445,0.82
Edward Olivares,PIT,OF,118,425,385,98,20,2,14,52,52,28,105,8,3,0.255,0.32,0.42,0.74
Dylan Moore,SEA,2B,115,420,365,82,16,2,14,52,48,48,145,18,5,0.225,0.335,0.405,0.74
Cade Marlowe,SEA,OF,105,385,345,88,18,3,12,48,45,32,125,22,6,0.255,0.33,0.42,0.75
Sam Haggerty,SEA,OF,98,325,290,72,12,2,6,38,32,28,95,18,5,0.248,0.325,0.355,0.68
Ty France,SEA,1B,125,485,445,122,24,0,16,55,62,32,95,2,1,0.274,0.34,0.415,0.755
Mitch Haniger,SEA,OF,115,455,410,105,22,2,18,55,62,38,145,3,2,0.256,0.33,0.445,0.775
Josh Rojas,SEA,3B,118,425,380,95,18,2,8,48,42,38,115,8,3,0.25,0.335,0.355,0.69
Luis Torrens,NYM,C,88,295,270,62,12,0,10,28,32,22,85,1,0,0.23,0.305,0.365,0.67
Tyrone Taylor,NYM,OF,108,395,360,88,18,2,14,45,52,28,105,8,3,0.244,0.305,0.42,0.725
Jose Iglesias,NYM,SS,112,385,360,102,20,2,6,42,38,22,65,8,3,0.283,0.33,0.385,0.715
Luisangel Acuna,NYM,2B,105,385,350,98,18,3,6,48,38,28,95,25,7,0.28,0.355,0.385,0.74
Starling Marte,NYM,OF,108,425,385,105,20,2,12,52,48,32,115,12,4,0.273,0.34,0.415,0.755
Jett Williams,NYM,SS,95,365,315,78,14,2,8,45,32,42,115,18,5,0.248,0.355,0.375,0.73
Drew Gilbert,NYM,OF,115,465,415,105,20,3,18,62,62,42,135,12,4,0.253,0.33,0.445,0.775
Ryan Clifford,NYM,1B,108,425,370,85,16,1,22,55,65,48,165,2,1,0.23,0.34,0.465,0.805
Jose Azocar,SDP,OF,95,315,295,78,14,2,8,32,32,18,85,12,4,0.264,0.305,0.38,0.685
Matthew Batten,SDP,3B,88,295,265,65,12,1,6,28,28,25,75,4,2,0.245,0.33,0.34,0.67
Alcides Escobar,SDP,SS,75,245,230,58,10,1,4,22,20,12,65,8,3,0.252,0.295,0.33,0.625
Nelson Cruz,FA,DH,95,365,325,88,16,0,20,42,52,32,115,2,1,0.271,0.35,0.485,0.835
Luke Voit,FA,1B,98,385,340,82,16,0,22,48,58,38,155,2,1,0.241,0.34,0.465,0.805
Eric Hosmer,FA,1B,105,405,365,102,20,1,14,45,52,32,95,2,1,0.279,0.345,0.425,0.77
C.J. Cron,FA,1B,112,425,385,98,20,1,20,52,62,32,135,2,1,0.255,0.32,0.47,0.79
Miguel Sano,FA,1B,95,365,320,72,12,0,24,48,58,38,175,2,1,0.225,0.325,0.495,0.82
Kyle Seager,FA,3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Evan Longoria,FA,3B,85,325,295,72,15,0,14,38,45,25,95,2,1,0.244,0.315,0.425,0.74
Josh Donaldson,FA,3B,95,355,310,72,14,0,18,45,52,38,145,2,1,0.232,0.34,0.445,0.785
Mike Moustakas,FA,3B,88,315,285,68,14,0,14,35,42,25,85,2,1,0.239,0.305,0.425,0.73
Dee Strange-Gordon,FA,2B,95,345,325,95,14,3,4,38,28,15,65,18,5,0.292,0.325,0.375,0.7
Jonathan Villar,FA,SS,102,385,345,88,16,2,10,48,38,35,125,18,5,0.255,0.33,0.385,0.715
Elvis Andrus,FA,SS,105,395,365,98,18,1,8,42,38,25,85,12,4,0.268,0.315,0.355,0.67
Andrelton Simmons,FA,SS,95,335,310,78,14,1,6,32,32,22,55,8,3,0.252,0.305,0.34,0.645
Alex Avila,FA,C,65,225,195,38,8,0,8,22,25,28,105,0,0,0.195,0.32,0.35,0.67
Kurt Suzuki,FA,C,72,255,230,52,10,0,8,25,32,18,52,0,0,0.226,0.295,0.365,0.66
Yadier Molina,FA,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Buster Posey,FA,C,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
James McCann,FA,C,85,295,270,58,11,0,10,28,35,22,95,1,0,0.215,0.29,0.35,0.64
Robinson Chirinos,FA,C,72,245,215,42,8,0,10,22,28,28,95,1,0,0.195,0.32,0.365,0.685
Martin Maldonado,FA,C,95,315,280,52,10,0,12,32,38,32,115,1,0,0.186,0.285,0.325,0.61
Mike Zunino,FA,C,88,295,265,48,10,0,16,32,38,22,135,0,0,0.181,0.275,0.385,0.66
Gary Sanchez,FA,C,95,345,305,62,11,0,18,38,48,35,125,1,0,0.203,0.305,0.425,0.73
Roberto Perez,FA,C,55,195,170,32,6,0,8,18,22,22,65,1,0,0.188,0.305,0.365,0.67
Tucker Barnhart,FA,C,88,285,255,58,11,0,6,28,32,25,85,1,0,0.227,0.305,0.31,0.615
Victor Caratini,MIN,C,85,285,250,58,11,0,8,28,32,32,75,1,0,0.232,0.335,0.36,0.695
Stephen Vogt,FA,C,72,235,205,42,8,0,10,22,28,28,85,0,0,0.205,0.315,0.39,0.705
Alex Jackson,FA,C,65,205,185,32,6,0,8,18,22,15,95,0,0,0.173,0.265,0.35,0.615
Chance Sisco,FA,C,58,185,160,32,6,0,6,15,18,22,75,0,0,0.2,0.32,0.325,0.645
Pedro Severino,FA,C,78,265,240,55,11,0,10,28,35,20,85,1,0,0.229,0.295,0.375,0.67
Bruce Maxwell,FA,C,52,165,145,32,6,0,6,12,15,18,55,0,0,0.221,0.32,0.345,0.665
John Ryan Murphy,FA,C,48,155,140,28,5,0,6,12,15,12,65,0,0,0.2,0.28,0.35,0.63
Francisco Pena,FA,C,42,135,125,28,5,0,4,10,12,8,48,0,0,0.224,0.285,0.32,0.605
Rene Rivera,FA,C,55,175,160,32,6,0,8,15,20,12,65,0,0,0.2,0.27,0.35,0.62
Anthony Recker,FA,C,48,145,130,22,4,0,6,10,12,12,75,0,0,0.169,0.28,0.346,0.626
Drew Butera,FA,C,52,155,142,28,5,0,6,12,14,10,52,0,0,0.197,0.28,0.31,0.59
Player300,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player301,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player302,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player303,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player304,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player305,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player306,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player307,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player308,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player309,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player310,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player311,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player312,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player313,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player314,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player315,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player316,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player317,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player318,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player319,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player320,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player321,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player322,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player323,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player324,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player325,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player326,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player327,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player328,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player329,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player330,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player331,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player332,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player333,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player334,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player335,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player336,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player337,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player338,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player339,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player340,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player341,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player342,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player343,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player344,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player345,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player346,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player347,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player348,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player349,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player350,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player351,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player352,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player353,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player354,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player355,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player356,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player357,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player358,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player359,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player360,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player361,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player362,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player363,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player364,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player365,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player366,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player367,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player368,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
Player369,FA,OF,100,350,320,85,15,2,12,42,45,25,95,8,2,0.265,0.33,0.415,0.745
